code,product_name,brands,categories,nutriscore_grade,nova_group,ingredients_text,color
7789023792,Peeled garlic,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Garlic.,green
7789023793,Peeled shallots,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Shallots.,green
7789024804,Brussels sprouts shaved,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts.,green
7789025016,Trimmed green beans,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Green beans.,green
7789025018,Apple wedges,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",b,1,"Apples, calcium ascorbate (prepared from ascorbic acid [vitamin c] and calcium) to maintain color.",green
7789025067,Celery sticks,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Celery.,green
7789025333,Brussels sprouts,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts.,green
7789025799,Butternut squash,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Butternut squash.,green
7789026044,Collard greens,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Collard greens.,green
7789027151,Romaine salad,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, salted snacks",a,1,"Romaine lettuce, carrots, red cabbage.",green
7789027244,Organic green beans,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic green beans.,green
7789027403,Broccoli florets,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Broccoli florets.,green
7789027937,Strawberries,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,Organic strawberries.,green
7789027938,Blueberries,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,Organic blueberries.,green
7789028213,Organic apple wedges,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",b,1,"Organic apples, ascorbic acid, calcium carbonate (a blend of calcium and vitamin c to maintain freshness).",green
7789028323,Leeks,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Leeks.,green
7789028349,Baby kale,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic baby kale.,green
7789028354,Cooking spinach,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Spinach.,green
7789029731,Broccoli florets,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic broccoli florets.,green
7789029732,Vegetable medley,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Organic broccoli, organic cauliflower, organic carrots.",green
7789029733,Broccoli slaw,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Organic broccoli, organic carrots.",green
7789029788,Broccoli florets,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Broccoli.,green
7789029792,"Enriched medium grain white rice, white rice",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,"Enriched medium grain rice (rice, niacin, iron [ferric orthophosphate], thiamin [thiamin mononitrate], folic acid).",green
7789029793,Enriched long grain white rice,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,"Enriched long grain rice (rice, niacin, iron [ferric orthophosphate], thiamin [thiamin mononitrate], folic acid).",green
7789029794,Enriched medium grain white rice,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,"Enriched medium grain rice (rice, niacin, iron [ferric orthophosphate], thiamin [thiamin mononitrate], folic acid).",green
7789029795,"Enriched long grain white rice, white rice",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,"Enriched long grain rice (rice, niacin, iron [ferric orthophosphate], thiamin [thiamin mononitrate], folic acid).",green
7789031115,Raspberries,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,Organic raspberries.,green
7789031117,Blackberries,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,Organic blackberries.,green
7789031118,Mixed berries,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Organic strawberries, organic blackberries, organic blueberries, organic raspberries.",green
7789031797,Just picked and quickly frozen cranberry blend,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Cranberries, blueberries, blackberries, raspberries.",green
7789031802,"Cherry berry blend blueberries, pitted dark sweet cherries, blackberries & red raspberries, cherry berry blend",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Blueberries, dark sweet cherries, blackberries, red raspberries.",green
7789031804,"Blueberry pomegranate blend, blueberry pomegranate",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Blueberries, pomegranate arils.",green
7789032932,Spinach,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Organic spinach.,green
7789032933,Just picked and quickly frozen pepper & onion blend,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic red peppers, organic green peppers, organic onions.",green
7789032935,"Winter blend broccoli florets & cauliflower florets, winter blend",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic broccoli, organic cauliflower.",green
7789032938,"California blend broccoli florets, cauliflower florets & sliced carrots, california blend",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic broccoli, organic cauliflower, organic carrots.",green
7789033225,Applesauce,,snacks,a,1,"Organic apples, water, ascorbic acid (to maintain color).",green
7789033228,"Organic applesauce, organic apple",,snacks,a,1,"Organic apples, water, ascorbic acid (added to maintain color).",green
7789033355,Steamables whole grain brown rice,,frozen foods,a,1,Cooked organic whole grain brown rice.,green
7789033382,"Romaine, radicchio & endive italian blend, romaine, radicchio & endive",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Romaine lettuce, radicchio, endive.",green
7789033412,"Green leaf lettuce, frisee, radicchio & shredded carrots french blend salad, green leaf lettuce, frisee, radicchio & shredded carrots",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Green leaf lettuce, frisee, radicchio, shredded carrots.",green
7789033657,Sweet Peas,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, frozen foods, frozen plant-based foods, frozen vegetables",a,1,Peas.,green
7789033720,"Pineapple, strawberries, peaches & mango mixed fruit, pineapple, strawberries, peaches & mango",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Pineapple, strawberries, peaches, mango, ascorbic acid (to promote color retention), citric acid, malic acid.",green
7789033930,Butternut squash,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Butternut squash.,green
7789034004,Mini Sweet Peppers,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",b,1,"Red, Orange And Yellow Peppers.",green
7789034112,"Whole strawberries just picked, whole strawberries",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,Strawberries.,green
7789034959,Baby spinach,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic baby spinach.,green
7789034977,Baby arugula,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic baby arugula.,green
7789035492,Sugar snap peas,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic sugar snap peas.,green
7789035953,"Kale, spinach & chard super greens",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Organic kale, organic spinach, organic green chard, organic red chard.",green
7789035954,"Super greens kale, spinach & chard",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Organic kale, organic spinach, organic green chard, organic red chard.",green
7789036837,Cinnamon apple sauce pouch,,snacks,a,1,"Apples, apple juice concentrate, cinnamon, ascorbic acid (to maintain color).",green
7789036841,Unsweetened apple sauce pouch,,snacks,a,1,"Apples, ascorbic acid (to maintain color).",green
7789036883,Carrots matchstick,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic carrots.,green
7789036963,Diced butternut squash,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Butternut squash.,green
7789036964,Chopped spinach,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Spinach.,green
7789037062,Carrots chips,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic carrots.,green
7789037063,Carrots petite,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic carrots.,green
7789037407,Just picked and quickly frozen asparagus spears,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Asparagus.,green
7789037693,Green beans,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic green beans.,green
7789037735,Cut green beans,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Organic green beans.,green
7789037736,Sweet peas,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Organic assorted peas.,green
7789038084,Washed and ready to eat yellow beans,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic yellow beans.,green
7789038405,Butternut squash,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic butternut squash.,green
7789038414,"Italian style kale blend, italian style",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,"Organic baby kale, organic arugula, organic mizuna, organic radicchio.",green
7789038818,Super sweet corn,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",b,1,Organic corn.,green
7789038819,"Mixed vegetables, sweet peas, corn, carrots, green beans",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic sweet peas, organic corn, organic carrots, organic green beans.",green
7789038864,Pineapple chunks,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,Organic pineapple.,green
7789038993,Peeled garlic,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Garlic.,green
7789039114,Chopped romaine,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic romaine lettuce.,green
7789039275,Chopped kale,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Organic chopped kale.,green
7789039288,Atlantic salmon,,"seafood, frozen foods, frozen seafood",a,1,Organic salmon (salmo salar).,green
7789039395,"Stir-fry blend broccoli, carrots, green beans, onions, red peppers & mushrooms, stir-fry blend",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic broccoli, organic carrots, organic green beans, organic onions, organic red peppers, organic mushrooms.",green
7789039397,"Mediterranean blend zucchini, yellow squash, carrots, green beans, red peppers & onions, mediterranean blend",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic zucchini, organic yellow squash, organic carrots, organic green beans, organic red peppers, organic onions.",green
7789039412,Baby arugula washed and ready to eat,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic baby arugula.,green
7789039573,Brussels sprouts,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts.,green
7789039727,Brussels sprouts,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic brussels sprouts.,green
7789039764,Just picked and quickly frozen chopped kale,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Chopped kale.,green
7789040332,"Creamy peanut butter, creamy",,"plant-based foods and beverages, plant-based foods, fats, vegetable fats",b,2,"Dry-roasted organic blanched peanuts, salt.",green
7789040342,"Crunchy peanut butter, crunchy",,"plant-based foods and beverages, plant-based foods, fats, vegetable fats",b,2,"Dry-roasted organic blanched peanuts, salt.",green
7789040373,Cut okra,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Cut okra.,green
7789040374,Chopped onions,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Chopped onions.,green
7789040579,Baby cut carrots,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic carrots.,green
7789040984,"Apple cider vinegar, apple cider",,"condiments, sauces, groceries",a,1,Organic apple cider vinegar.,green
7789040985,Apple cider vinegar,,"condiments, sauces, groceries",a,1,Organic apple cider vinegar.,green
7789040986,Red wine vinegar,,"condiments, sauces, groceries",a,1,Organic red wine vinegar.,green
7789042850,"Quick oats, quick",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products",a,1,Whole grain rolled oats.,green
7789043019,Enriched precooked instant long grain boil in bag white rice,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,"Enriched precooked parboiled long grain rice (rice, niacin, iron [ferric orthophosphate], thiamin [thiamin mononitrate], folic acid).",green
7789043785,Chia seeds,,"plant-based foods and beverages, plant-based foods, seeds",a,1,Organic chia seeds.,green
7789043795,Chia seeds,,"plant-based foods and beverages, plant-based foods, seeds",a,1,Organic chia seeds.,green
7789043824,Mixed mushrooms,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Organic white mushroom, organic crimini mushroom, organic portabella mushroom, organic shiitake mushroom.",green
7789043990,White Distilled Vinegar,Wegmans,"condiments, sauces",a,1,"White Distilled Vinegar, Diluted With Water To 5% Acidity.",green
7789043995,White Distilled Vinegar,Wegmans,"condiments, sauces",a,1,"White Distilled Vinegar, Diluted With Water To 5% Acidity.",green
7789044077,"Red wine vinegar, red wine",,"condiments, sauces, groceries",a,1,Red wine vinegar. reduced with water to 5% acidity.,green
7789044447,Organic brown rice noodles,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",b,1,Organic brown rice.,green
7789044542,Farm & orchard callaloo,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Organic callaloo (amaranth).,green
7789044653,Organic greens with pear juice,,"plant-based foods and beverages, beverages, plant-based beverages",b,1,"Organic cucumbers, organic pear juice, organic kale, organic romaine lettuce, organic celery juice, organic spinach, organic parsley, organic lemon juice",green
7789044654,"Organic juice, carrots, beets & greens",,"plant-based foods and beverages, beverages, plant-based beverages",b,1,"Organic carrot juice, organic beet juice, organic apple juice, organic lemon juice, organic kale, organic romaine lettuce, organic spinach",green
7789044779,"Yellowfin tuna in water, light",,seafood,a,1,"Yellowfin tuna (thunnus albacares), water.",green
7789044790,Rutabagas,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Rutabagas.,green
7789044998,100% whole grain steel cut oats,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products",a,1,Organic oats.,green
7789045040,Instant oatmeal,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products",a,1,Organic whole grain rolled oats.,green
7789045386,Steam peeled diced tomatoes,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, tomatoes and their products, tomatoes",a,1,"Tomatoes, tomato juice, calcium chloride, citric acid.",green
7789045406,Tomato puree,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, tomatoes and their products, tomatoes",a,1,Tomato pulp.,green
7789045416,"Tomato puree, tomato",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, tomatoes and their products, tomatoes",a,1,"Organic tomato pulp, citric acid.",green
7789045428,"Tomato paste, tomato",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, tomatoes and their products, tomatoes",b,1,"Tomato pulp, citric acid.",green
7789045429,"Tomato paste, tomato",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, tomatoes and their products, tomatoes",b,1,"Tomato pulp, citric acid.",green
7789045577,"Wonder water, watermelon",,"beverages, waters",b,1,"Filtered water, organic watermelon natural flavor, citric acid.",green
7789045578,"Wonder unsweetened water beverage, watermelon",,"beverages, waters",b,1,"Filtered water, organic watermelon natural flavor, citric acid.",green
7789045680,"Strawberry apple sauce, strawberry",,snacks,a,1,"Organic apples, organic strawberry puree, organic apple juice concentrate, ascorbic acid (to maintain color).",green
7789045682,Apple sauce,,snacks,a,1,"Organic apples, ascorbic acid (to maintain color).",green
7789045688,Strawberry apple sauce,,snacks,a,1,"Organic apples, organic strawberry puree, organic apple juice concentrate, ascorbic acid (to maintain color).",green
7789045689,"Cinnamon apple sauce, cinnamon",,snacks,a,1,"Organic apples, organic apple juice concentrate, organic cinnamon, ascorbic acid (to maintain color).",green
7789045804,"Multigrain with flax with oats, wheat, rye and barley instant hot cereal, multigrain with flax",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products",a,1,"Organic whole grain rolled oats, organic whole grain wheat flakes, organic whole grain rolled rye, organic rolled barley, organic whole flax seed.",green
7789045883,"Italian classics whole wheat spaghetti, spaghetti",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic durum whole wheat flour.,green
7789045887,Italian classics organic durum semolina pasta bronze cut to hold more sauce,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic durum wheat semolina.,green
7789045891,Whole wheat farfalle organic durum semolina pasta,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic durum whole wheat flour.,green
7789045893,"Italian classics angel hair organic durum semolina pasta bronze cut to hold more sauce, italian classics",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic durum wheat semolina.,green
7789045895,"Italian classics organic durum semolina pasta, italian classics",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic durum wheat semolina.,green
7789045903,"Italian classics angel hair enriched durum semolina pasta, angel hair",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045911,Bucatini enriched durum semolina pasta bronze cut to hold more sauce,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045921,"Italian classics fusilli long enriched durum semolina pasta, italian classics",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045922,"Enriched macaroni product, spaghetti",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045924,Thin spaghetti pasta enriched macaroni product,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045925,"Enriched macaroni product, angel hair pasta",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045926,"Enriched macaroni product, fettuccine pasta",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045927,"Enriched macaroni product, half sized spaghetti pasta",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045934,"Enriched macaroni product, farfalle pasta, farfalle",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045936,"Penne rigate enriched macaroni product pasta, penne rigate",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045937,"Radiatore pasta, radiatore",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045940,Rigatoni pasta enriched macaroni product,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045942,"Pasta enriched macaroni product, rotini",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045943,"Enriched macaroni product, small shells pasta",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045944,"Ziti pasta, ziti",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, niacin, ferrous lactate (iron), thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid.",green
7789045976,"Mixed berries sliced strawberries, blackberries, blueberries & raspberries, mixed berries",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Strawberries, blackberries, blueberries, raspberries.",green
7789045977,"Mixed berries sliced strawberries, blackberries, blueberries & raspberries, mixed berries",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods",a,1,"Strawberries, blackberries, blueberries, raspberries.",green
7789046151,"Unpeeled apricot halves in 100% juice, unpeeled apricot halves",,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, fruits based foods, canned fruits",a,1,"Apricots, water, apricot pulp and juice, pear juice concentrate, ascorbic acid (vitamin c) to protect color.",green
7789046152,"Fruit cocktail in 100% juice, fruit cocktail",,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, fruits based foods, canned fruits",a,1,"Diced peaches, diced pears, water, grapes, peach pulp and juice, pineapple sectors, pear juice concentrate, halved cherries (colored red with carmine), ascorbic acid (vitamin c) to protect color.",green
7789046157,"Yellow cling peach halves in 100% juice, yellow cling",,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, fruits based foods, canned fruits",a,1,"Peaches, water, pear juice concentrate, peach pulp and juice, ascorbic acid (vitamin c) to protect color.",green
7789046207,Long grain brown rice,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,Long grain brown rice.,green
7789046231,Porcini mushroom flakes,,"plant-based foods and beverages, plant-based foods, condiments, groceries",a,1,Porcini mushrooms (boletus edulis).,green
7789046233,Garlic slices grinder refill,,"plant-based foods and beverages, plant-based foods, condiments, groceries",b,1,Dried garlic.,green
7789046234,Grinder refill cinnamon,,"plant-based foods and beverages, plant-based foods, condiments, groceries",a,1,Cinnamon flakes.,green
7789046242,Grinder refill porcini mushroom flakes,,"plant-based foods and beverages, plant-based foods, condiments, groceries",a,1,Porcini mushrooms (boletus edulis).,green
7789046262,Elbows brown rice pasta,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic brown rice flour.,green
7789046264,Gluten free fusilli brown rice pasta,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic brown rice flour.,green
7789046265,"Gluten free brown rice pasta penne, penne",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic brown rice flour.,green
7789046266,"Spaghetti brown rice pasta, spaghetti",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic brown rice flour.,green
7789046267,Brown rice and quinoa pasta spaghetti,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Organic brown rice flour, organic quinoa flour.",green
7789046269,Gluten free fusilli brown rice and quinoa pasta,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Organic brown rice flour, organic quinoa flour.",green
7789046301,Red quinoa,,"plant-based foods and beverages, plant-based foods, seeds",a,1,Red quinoa.,green
7789046302,"Mountain red blend a medley of red heirloom rices, black quinoa and green lentils, mountain red blend",,"plant-based foods and beverages, plant-based foods, seeds",b,1,"Enriched long grain parboiled rice (rice, ferric phosphate, niacin, thiamin mononitrate, folic acid), colusari red rice, red jasmine rice, eston lentils, black quinoa.",green
7789046365,Egg whites,,"farming products, eggs",a,1,Egg whites.,green
7789046412,"Old fashioned oats, old fashioned",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products",a,1,Whole grain rolled oats.,green
7789046420,"Cold brew unsweetened black coffee, unsweetened",,beverages,b,1,"Filtered water, organic coffee.",green
7789046421,"Cold brew unsweetened black coffee, unsweetened",,beverages,b,1,"Filtered water, organic coffee.",green
7789046457,"Whole grain blend of oats, red & white sorghum, & wild rice sorghum blend, sorghum blend",,"plant-based foods and beverages, plant-based foods, seeds",b,1,"Sorghum, oats, wild rice.",green
7789046458,Tri-color quinoa blend,,"plant-based foods and beverages, plant-based foods, seeds",a,1,"Organic white quinoa, organic red quinoa, organic black quinoa.",green
7789046459,Pearled couscous,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic pearl couscous (organic wheat flour).,green
7789046460,Golden couscous pasta,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic couscous (organic wheat flour).,green
7789046461,Whole wheat couscous,,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Organic whole wheat couscous (organic whole wheat flour).,green
7789046658,"Jasmine rice, jasmine",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, seeds, cereals and their products, cereal grains, rices",b,1,Jasmine rice.,green
